content,label
真的假的？虽然最近肺炎有点多？但这么说还是很让人害怕，,49
武汉华南海鲜市场出现多个不明原因肺炎病例，请同道们提高警惕，早期发现，早期生病。,50
武汉有不明原因肺炎？是非典型肺炎么？一大早上感觉很不好,53
武汉不明原因肺炎，不管是什么病情，祝平安为敢于先发声的媒体点赞，为医护工作人员点赞,34
湖北武汉，近期不要到华南海鲜市场去，那里现在发生了多人患不明原因肺炎（类似非典）,50
又是地震又是肺炎，我想回家,27
武汉非典型肺炎，武汉非典性肺炎？，转发理由:不会是真的吧官方快发通知啊！,0
个人先做好自我防护，等认证号打假或者确认吧。,2
希望一场闹剧，大家都能好好过个年,51
刚看完荷兰改名的辟谣，又看到二郎神的辟谣，希望赶快看到武汉肺炎的辟谣，,51
希望疫情早点结束，武汉加油，中国加油,51
1月10号要到武汉口罩准备起来，希望能尽快查清楚,51
武汉不明原因肺炎已做好生病，检测结果将第一时间对外公布。大家不要过于恐慌！,8
武汉不明肺炎成功引起恐慌了，还跨啥年啊，我反正老老实实搁家呆着,1
希望结果好，毕竟快过年了,51
我去，最近我妹一周内连续高烧五次，今天带她去检查一下。防范于未然！,21
武汉也太可怕了，不明原因肺炎是认真的吗,53
第一时间公开疫情才能助于不引起社会恐慌吧,2
现今预防医学很发达，请勿轻信谣言。,8
我去，我想要回家了，赶紧的,27
应该是那个不明原因的肺炎确认了，但是非典还没确定，所以是谣言,70
现在有娃了，听到这种消息更多的是害怕,49
今天从武汉回北京，刚坐上高铁，看到推送的消息：武汉不明原因肺炎，我真害怕,49
武汉发现不明原因肺炎，好恐慌好害怕,49
不信谣！不传谣！但大家也一定要小心，注意安全,8
不明肺炎，还是得小心，等待最新结果,8
刚舍友说，武汉有发现疑似非典的病例，赶紧看了微博，元旦最好不要出门了,3
如果能平安度过今晚，那感谢2019不杀之恩。,9
明天去武汉，希望专家组后天再发结果,51
哦，又是谣言，我们一起来粉碎它！,46
莫名想到生化危机，浣熊市，逐渐皱起眉头,62
避免出现人群多的地方！出门记得戴口罩！,22
这还跨啥年？回家洗洗睡吧,73
专家来了，非典型肺炎不可怕，可怕的不明原因肺炎,49
又是肺炎，看来在寝室和姐妹们一起跨年还是最安全的,3
我有点害怕，我害怕我回不去家,49
我希望不是非典，大家都好好的,51
大家能给我普及一下吗，肺炎难道不是是生病发烧，这咋还上热搜了,0
昨天还兴高采烈在地图上标点计划怎么玩去哪吃，今天就看到官方消息说武汉有不明肺炎,57
武汉未名原因肺炎好可怕呀，我前两天感冒了要不要紧呀，咋回事呀。,0
瑟瑟发抖，捂紧我的口罩，最近还是吃素吧,48
昨天喝的半夜起来上吐下泻，今天看到家楼下就不明肺炎，还好不在武汉,56
早上去药店买口罩的时候，口罩卖断货了，还是尽量不出门，,3
武汉出现了不明原因肺炎，已经官宣了。悄悄问一句，真的确诊是非典型肺炎嘛？,0
即便最终被确诊为非典型肺炎病毒，此前已有成熟的防控救治体系，市民不用恐慌。,8
希望不要像03年非典型肺炎一样，早日确定早日通报要好。,51
上帝保佑，一定要平安啊，顺利的度过这段时间,18
反正不要去人流聚集，有症状去医院总是对的。,50
每当这时候，我就恨自己的弱鸡体质。,23
武汉的朋友这两天尽量不要去人多的地方，尤其跨年夜。做好防范。,22
听说武汉有肺炎疫情，能下车吗？,47
晚上跨年，政府能不能早点给出消息引起恐慌和病毒传染加速哪个更重要？,80
不信谣不传谣，等待官方调查结果是最明智的选择！,8
不要慌啊各位，非典躲过了，地震躲过了，别过不了自己那一关啊,22
大家出门一定请佩戴好口罩，一定要严防,8
在武汉的今天跨年还是最好不要去人多的地方了，如果要出门的话记得戴口罩,22
大哥求求了，不封城就行，不封城就行,18
这病毒挺厉害，现在人在武汉瑟瑟发抖,40
如果武汉肺炎真是非典型肺炎麻烦大了，春运马上来了，人流快速流动扩散，一旦传播开了，就非常麻烦了。,48
麻溜买了考试结束的票滚回家,27
没想到2019年的最后一天，我哥竟然想起我来了，哎，是亲哥,45
我想，如果是非做好自身的预防，不要去人群密集的地方，勤洗手，爱干净卫生，可以备一些板蓝根。,8
武汉的朋友注意安全，不信谣不传谣，如果出现不明原因的肺炎，及时去医院,50
其实我一直觉得这个问题无解，病毒分型分析是需要时间的,53
目前，国家卫健委专家组已抵达武汉，正展开相关检测核实工作。,21
今天武汉发生了一个令人惶恐的事情，希望能赶紧处理好，官方给个确定的消息慌的我不想看书,51
武汉发现不明原因肺炎，玩真了咧，正好跨年夜有理由不出门了,3
武汉不明肺炎？想起17年前，2003年，我在湘潭围城那个担心的哟,4
